"ecoregion","stream","biomass","abu","vel","depth","froude","sub_dom","cpom","wcw","acw","temp","ph","cond_corr","elevation","strahler","Urb_1km","Agr_1km","Nat_1km","upslope_area","Urb","Agr","Nat","Prec_mean","Air_temp"
"Apennines","Cedra",0.1036,264,0.21,0.24,0.137,"cobbles",0.3309,11,31,16.24,8.42,304,702,3,4.9,33.9,61.2,26.2,0,5.3,94.7,4.868,5.19
"Apennines","Cedra",0.0368,121,0.21,0.38,0.109,"cobbles",0.0831,11,31,16.24,8.42,304,702,3,4.9,33.9,61.2,26.2,0,5.3,94.7,4.868,5.19
"Apennines","Cedra",0.1226,401,0.27,0.13,0.239,"cobbles",0.4731,11,31,16.24,8.42,304,702,3,4.9,33.9,61.2,26.2,0,5.3,94.7,4.868,5.19
"Apennines","Cedra",0.0957,155,0.18,0.28,0.109,"cobbles",0.4993,11,31,16.24,8.42,304,702,3,4.9,33.9,61.2,26.2,0,5.3,94.7,4.868,5.19
"Apennines","Cedra",0.0624,203,0.61,0.37,0.32,"cobbles",0.3822,11,31,16.24,8.42,304,702,3,4.9,33.9,61.2,26.2,0,5.3,94.7,4.868,5.19
"Apennines","Ceno",0.1705,624,0,0.2,0,"gravel",0.7629,7.5,13,10.38,8.68,258,787,3,0,30.2,69.8,17.56,0,14.1,85.9,3.157,5.76
"Apennines","Ceno",0.0662,220,0.21,0.13,0.186,"cobbles",0.5105,7.5,13,10.38,8.68,258,787,3,0,30.2,69.8,17.56,0,14.1,85.9,3.157,5.76
"Apennines","Ceno",0.1437,217,0.58,0.25,0.37,"cobbles",0.3997,7.5,13,10.38,8.68,258,787,3,0,30.2,69.8,17.56,0,14.1,85.9,3.157,5.76
"Apennines","Ceno",0.2634,1561,0,0.7,0,"sand",7.2418,7.5,13,10.38,8.68,258,787,3,0,30.2,69.8,17.56,0,14.1,85.9,3.157,5.76
"Apennines","Ceno",0.2307,516,0.58,0.25,0.37,"cobbles",2.2551,7.5,13,10.38,8.68,258,787,3,0,30.2,69.8,17.56,0,14.1,85.9,3.157,5.76
"Apennines","Ceno",0.1499,506,0.09,0.14,0.077,"cobbles",0.6281,7.5,13,10.38,8.68,258,787,3,0,30.2,69.8,17.56,0,14.1,85.9,3.157,5.76
"Apennines","Gotra",0.0358,115,0.21,0.3,0.122,"boulders",0.0699,8,40,15.53,8.48,194,523,2,3.6,74.7,21.7,35.03,0,7.6,92.4,3.981,5.65
"Apennines","Gotra",0.1697,196,0.61,0.28,0.368,"cobbles",0.1298,8,40,15.53,8.48,194,523,2,3.6,74.7,21.7,35.03,0,7.6,92.4,3.981,5.65
"Apennines","Gotra",0.1708,578,0,0.36,0,"gravel",4.1042,8,40,15.53,8.48,194,523,2,3.6,74.7,21.7,35.03,0,7.6,92.4,3.981,5.65
"Apennines","Gotra",0.2598,407,0.24,0.21,0.167,"cobbles",0.1904,8,40,15.53,8.48,194,523,2,3.6,74.7,21.7,35.03,0,7.6,92.4,3.981,5.65
"Apennines","Gotra",0.3199,737,0.3,0.17,0.232,"boulders",0.7827,8,40,15.53,8.48,194,523,2,3.6,74.7,21.7,35.03,0,7.6,92.4,3.981,5.65
"Apennines","Gotra",0.144,273,0,0.16,0,"cobbles",0.7472,8,40,15.53,8.48,194,523,2,3.6,74.7,21.7,35.03,0,7.6,92.4,3.981,5.65
"Apennines","Lonza",0.0364,165,0.67,0.16,0.535,"gravel",0.0808,5,33.5,11.05,8.74,404,449,3,0,36.7,63.3,20.81,1.3,29.1,58.7,2.865,5.96
"Apennines","Lonza",0.0402,149,0.46,0.2,0.328,"cobbles",1.2239,5,33.5,11.05,8.74,404,449,2,0,36.7,63.3,20.81,1.3,29.1,58.7,2.865,5.96
"Apennines","Lonza",0.0314,86,0.46,0.24,0.3,"cobbles",0.3162,5,33.5,11.05,8.74,404,449,2,0,36.7,63.3,20.81,1.3,29.1,58.7,2.865,5.96
"Apennines","Lonza",0.0261,169,0.61,0.38,0.316,"cobbles",0.0594,5,33.5,11.05,8.74,404,449,2,0,36.7,63.3,20.81,1.3,29.1,58.7,2.865,5.96
"Apennines","Lonza",0.0198,65,0.58,0.17,0.449,"gravel",0.0512,5,33.5,11.05,8.74,404,449,2,0,36.7,63.3,20.81,1.3,29.1,58.7,2.865,5.96
